name
k__Archaea|p__Euryarchaeota
k__Bacteria|p__Actinobacteria
k__Bacteria|p__Bacteroidetes
k__Bacteria|p__Cyanobacteria
k__Bacteria|p__Firmicutes
k__Bacteria|p__Fusobacteria
k__Bacteria|p__Lentisphaerae
k__Bacteria|p__Proteobacteria
k__Bacteria|p__Synergistetes
k__Bacteria|p__Tenericutes
k__Bacteria|p__Verrucomicrobia
k__Archaea|p__Euryarchaeota|c__Methanobacteria
k__Bacteria|p__Actinobacteria|c__Actinobacteria
k__Bacteria|p__Bacteroidetes|c__Bacteroidia
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia
k__Bacteria|p__Cyanobacteria|c__4C0d-2
k__Bacteria|p__Cyanobacteria|c__Chloroplast
k__Bacteria|p__Firmicutes|c__Bacilli
k__Bacteria|p__Firmicutes|c__Clostridia
k__Bacteria|p__Firmicutes|c__Erysipelotrichi
k__Bacteria|p__Firmicutes|c__RF3
k__Bacteria|p__Fusobacteria|c__Fusobacteria
k__Bacteria|p__Lentisphaerae|c__[Lentisphaeria]
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria
k__Bacteria|p__Synergistetes|c__Synergistia
k__Bacteria|p__Tenericutes|c__Mollicutes
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales
k__Bacteria|p__Cyanobacteria|c__4C0d-2|o__YS2
k__Bacteria|p__Cyanobacteria|c__Chloroplast|o__Streptophyta
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales
k__Bacteria|p__Firmicutes|c__Bacilli|o__Gemellales
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales
k__Bacteria|p__Firmicutes|c__Bacilli|o__Turicibacterales
k__Bacteria|p__Firmicutes|c__Bacilli|o__unclassified
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales
k__Bacteria|p__Firmicutes|c__Clostridia|o__Coriobacteriales
k__Bacteria|p__Firmicutes|c__Clostridia|o__SHA-98
k__Bacteria|p__Firmicutes|c__Clostridia|o__unclassified
k__Bacteria|p__Firmicutes|c__Erysipelotrichi|o__Erysipelotrichales
k__Bacteria|p__Firmicutes|c__RF3|o__ML615J-28
k__Bacteria|p__Fusobacteria|c__Fusobacteria|o__Fusobacteriales
k__Bacteria|p__Lentisphaerae|c__[Lentisphaeria]|o__Victivallales
k__Bacteria|p__Lentisphaerae|c__[Lentisphaeria]|o__unclassified
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__RF32
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__unclassified
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Anaeroplasmatales
k__Bacteria|p__Tenericutes|c__Mollicutes|o__RF39
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__unclassified
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__S24-7
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__[Barnesiellaceae]
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__[Odoribacteraceae]
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__[Paraprevotellaceae]
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae
k__Bacteria|p__Cyanobacteria|c__4C0d-2|o__YS2|f__unclassified
k__Bacteria|p__Cyanobacteria|c__Chloroplast|o__Streptophyta|f__unclassified
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae
k__Bacteria|p__Firmicutes|c__Bacilli|o__Gemellales|f__Gemellaceae
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__unclassified
k__Bacteria|p__Firmicutes|c__Bacilli|o__Turicibacterales|f__Turicibacteraceae
k__Bacteria|p__Firmicutes|c__Bacilli|o__unclassified|f__unclassified
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Catabacteriaceae
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Christensenellaceae
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptococcaceae
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__unclassified
k__Bacteria|p__Firmicutes|c__Clostridia|o__Coriobacteriales|f__Coriobacteriaceae
k__Bacteria|p__Firmicutes|c__Clostridia|o__Coriobacteriales|f__unclassified
k__Bacteria|p__Firmicutes|c__Clostridia|o__SHA-98|f__unclassified
k__Bacteria|p__Firmicutes|c__Clostridia|o__unclassified|f__unclassified
k__Bacteria|p__Firmicutes|c__Erysipelotrichi|o__Erysipelotrichales|f__Erysipelotrichaceae
k__Bacteria|p__Firmicutes|c__Erysipelotrichi|o__Erysipelotrichales|f__[Coprobacillaceae]
k__Bacteria|p__Firmicutes|c__RF3|o__ML615J-28|f__unclassified
